'-38.5065265','-3.782636','AVENIDA PLACIDO CASTELO'
'-38.5196796','-3.810598','AVENIDA POMPILIO GOMES'
'-38.4986686','-3.7508975','AVENIDA PONTES VIEIRA'
'-38.5837436','-3.7676245','AVENIDA PORTO VELHO'
'-38.5469261','-3.7144292','AVENIDA PRESIDENTE CASTELO BRANCO'
'-38.5417316','-3.8250314','AVENIDA PRESIDENTE COSTA E SILVA'
'-38.5345529','-3.8101903','AVENIDA PRUDENTE BRASIL'
'-38.5636046','-3.839807','AVENIDA PUEBLA'
'-38.6004029','-3.7146909','AVENIDA QUARENTA E SETE'
'-38.5125635','-3.8670165','AVENIDA QUARTO ANEL VIARIO'
'-38.5742875','-3.841655','AVENIDA RADIALISTA JOAO RAMOS'
'-38.4492876','-3.8065027','AVENIDA RECREIO'
'-38.5988429','-3.8063944','AVENIDA RENE DESCARTES'
'-38.5037809','-3.787827','AVENIDA ROGACIANO LEITE'
'-38.5112684','-3.741471','AVENIDA RUI BARBOSA'
'-38.512541','-3.7531795','AVENIDA SABINO DO MONTE'
'-38.5008075','-3.7353665','AVENIDA SANTOS DUMOND'
'-38.5227569','-3.7282445','AVENIDA SANTOS DUMONT'
'-38.5729596','-3.832275','AVENIDA SAO FRANCISCO'
'-38.4668096','-3.795085','AVENIDA SAPIRANGA'
'-38.5515819','-3.7247198','AVENIDA SARGENTO HERMINIO SAMPAIO'
'-38.4833666','-3.7574286','AVENIDA SEBASTIAO DE ABREU'
'-38.4584658','-3.7458445','AVENIDA SENADOR CARLOS JEREISSATI'
'-38.4874029','-3.7839285','AVENIDA SUL'
'-38.622074','-3.7770975','AVENIDA TEODORO DE CASTRO'
'-38.5147444','-3.8279115','AVENIDA TOMAZ COELHO'
'-38.5027744','-3.8810891','AVENIDA TRAIRA'
'-38.4672284','-3.7254104','AVENIDA TRAJANO DE MEDEIRO'
'-38.4662823','-3.7270759','AVENIDA TRAJANO DE MEDEIROS'
'-38.4682682','-3.7231007','AVENIDA TRAJANO MEDEIRO'
'-38.4679469','-3.7237695','AVENIDA TRAJANO MEDEIROS'
'-38.5319905','-3.7641315','AVENIDA TREZE DE ABRIL'
'-38.5431848','-3.7373094','AVENIDA TREZE DE MAIO'
'-38.5316555','-3.7221055','AVENIDA TRISTAO GONCALVES'
'-38.4959984','-3.7965215','AVENIDA ULISSES BEZERRA'
'-38.5049585','-3.7786395','AVENIDA UM'
'-38.606719','-3.7975558','AVENIDA URUCUTUBA'
'-38.5198715','-3.8463555','AVENIDA VAL PARAISO'
'-38.4803314','-3.7362605','AVENIDA VALDETARIO MOTA'
'-38.5240739','-3.8455035','AVENIDA VALPARAISO'
'-38.5885141','-3.7803295','AVENIDA VERBENA'
'-38.5690193','-3.7211773','AVENIDA VIA FERREA SOBRAL'
'-38.4723111','-3.7118543','AVENIDA VICENTE DE CASTRO'
'-38.4854118','-3.8019863','AVENIDA VIENA WEYNE'
'-38.5888639','-3.7022022','AVENIDA VINTE DE JANEIRO'
'-38.5213365','-3.7492544','AVENIDA VISCONDE DO RIO BRANCO'
'','','AVENIDA VITAL BRASIL'
'-38.601265','-3.7917815','AVENIDA WALDEMAR PAES BRAGANCA'
'-38.480542','-3.788173','AVENIDA WASHIGTON SOARES'
'-38.5939957','-3.7162937','AVENIDA WASHINGTON LUIS'
'-38.5941304','-3.7160779','AVENIDA WASHINGTON LUIZ'
'-38.4795781','-3.801546','AVENIDA WASHINGTON SOARES'
'-38.577271','-3.809669','AVENIDA WENEFRIDO MELO'
'-38.4678974','-3.7101855','AVENIDA ZEZE DIOGO'
'-38.513941','-3.7200354','AVENIDA ALMIRANTE BARROSO'
'-38.494042','-3.7497755','AVENIDA ALMIRANTE HENRIQUE SABOIA'
'-38.4806351','-3.725473','AVENIDA ALMIRANTE HERIQUE SABOIA'
'-38.4836702','-3.7715781','AVENIDA ALMIRANTE MAXIMINIANO DA FONSECA'
'-38.5198295','-3.7191245','AVENIDA ALMIRANTE TAMANDARE'
'-38.510521','-3.7470325','AVENIDA BARAO DE STUART'
'-38.5090835','-3.7420675','AVENIDA BARAO DE STUDART'
'-38.507195','-3.7361965','AVENIDA BARAO STUDART'
'-38.5087979','-3.8207295','AVENIDA CAPITAO HUGO BEZERRA'
'-38.5162385','-3.76393','AVENIDA CAPITAO OLAVO'
'-38.5084865','-3.8203575','AVENIDA CAPITAO WALDEMAR PAULA LIMA'
'-38.5860587','-3.798532','AVENIDA CONEGO DE CASTRO'
'-38.4678652','-3.7947','AVENIDA CONSELHEIRO GOMES DE FREITAS'
'-38.5818041','-3.718156','AVENIDA CONSELHEIRO LAFAYETE'
'-38.5775176','-3.7185295','AVENIDA CONSELHEIRO LAFAYTTE'
'-38.5907699','-3.7069105','AVENIDA CORONEL CARVALHO'
'-38.5225949','-3.7552185','AVENIDA CORONEL JOAO CARNEIRO'
'-38.5839901','-3.75127','AVENIDA CORONEL MATOS DOURADO'
'-38.4875496','-3.7694905','AVENIDA CORONEL MIGUEL DIAS'
'-38.4935285','-3.7993295','AVENIDA DEPUTADO JOAQUIM DE FIGUEIREDO CORREIA'
'-38.494183','-3.8012823','AVENIDA DEPUTADO JOAQUIM FIGUEIREDO CORREIA'
'-38.5268404','-3.7520492','AVENIDA DEPUTADO OSWALDO STUDART'
'-38.514788','-3.8113809','AVENIDA DEPUTADO PAULINO ROCHA'
'','','AVENIDA DESEMBARGADOR COLOMBO DE SOUSA'
'-38.480129','-3.7728248','AVENIDA DESEMBARGADOR FLORIANO BENEVIDES'
'-38.5023622','-3.791703','AVENIDA DESEMBARGADOR GONZAGA'
'-38.5011461','-3.744552','AVENIDA DESEMBARGADOR MOREIRA'
'-38.5965169','-3.713269','AVENIDA DOM ALOISIO LORSCHEIDER'
'-38.5008545','-3.7322245','AVENIDA DOM LUIS'
'-38.4911255','-3.735383','AVENIDA DOM LUIZ'
'-38.5196929','-3.724075','AVENIDA DOM MANOEL'
'-38.5646211','-3.7237085','AVENIDA DOUTOR ATUALPA'
'-38.4592549','-3.7882986','AVENIDA DOUTOR CORREIA LIMA'
'-38.4950775','-3.7824934','AVENIDA DOUTOR JOAO MACIEL FILHO'
'-38.4885119','-3.8285955','AVENIDA DOUTOR JOAQUIM BENTO'
'-38.5800539','-3.827656','AVENIDA DOUTOR JOSE BORBA DE VASCONCELOS'
'-38.4804888','-3.7594378','AVENIDA DOUTOR JOSE MARTINS RODRIGUES'
'-38.5617164','-3.705397','AVENIDA DOUTOR THEBERGE'
'-38.5636702','-3.7108021','AVENIDA DOUTOR THEMBERG'
